id,name,recipe1,recipe2,recipe3,recipe4,recipe5,recipe6
90,Iron Helmet,671,,,,,
91,Silver Helmet,1243,,,,,
92,Gold Helmet,548,,,,,
93,Wood Wall,1546,,,,,
94,Wood Platform,1545,,,,,
95,Flintlock Pistol,,,,,,
96,Musket,,,,,,
97,Musket Ball,,,,,,
98,Minishark,,,,,,
99,Iron Bow,664,,,,,
100,Shadow Greaves,1215,,,,,
101,Shadow Scalemail,1217,,,,,
102,Shadow Helmet,1216,,,,,
103,Nightmare Pickaxe,893,,,,,
104,The Breaker,1420,,,,,
105,Candle,214,,,,,
106,Copper Chandelier,290,,,,,
107,Silver Chandelier,1238,,,,,
108,Gold Chandelier,542,,,,,
109,Mana Crystal,779,,,,,
110,Lesser Mana Potion,,,,,,
111,Band of Starpower,,,,,,
112,Flower of Fire,,,,,,
113,Magic Missile,,,,,,
114,Dirt Rod,,,,,,
116,Meteorite,,,,,,
117,Meteorite Bar,802,,,,,
118,Hook (crafting material),,,,,,
119,Flamarang,433,,,,,
120,Molten Fury,810,,,,,
121,Fiery Greatsword,426,,,,,
122,Molten Pickaxe,814,,,,,
123,Meteor Helmet,798,,,,,
124,Meteor Suit,801,,,,,
125,Meteor Leggings,799,,,,,
126,Bottled Water,,,,,,
127,Space Gun,1309,,,,,
128,Rocket Boots,,,,,,
129,Gray Brick,561,562,,,,
130,Gray Brick Wall,563,,,,,
131,Red Brick,1109,1110,,,,
132,Red Brick Wall,1111,,,,,
133,Clay Block,,,,,,
134,Blue Brick,,,,,,
135,Blue Brick Wall,,,,,,
136,Chain Lantern,,,,,,
137,Green Brick,,,,,,
138,Green Brick Wall,,,,,,
139,Pink Brick,,,,,,
140,Pink Brick Wall,,,,,,
141,Gold Brick,537,538,,,,
142,Gold Brick Wall,539,,,,,
143,Silver Brick,1232,1233,,,,
144,Silver Brick Wall,1234,,,,,
145,Copper Brick,285,286,,,,
146,Copper Brick Wall,287,,,,,
147,Spike,,,,,,
148,Water Candle,1525,1526,,,,
149,Book,,,,,,
150,Cobweb,,,,,,
151,Necro Helmet,888,,,,,
152,Necro Breastplate,886,,,,,
153,Necro Greaves,887,,,,,
154,Bone,103,,,,,
155,Muramasa,,,,,,
156,Cobalt Shield,,,,,,
157,Aqua Scepter,,,,,,
158,Lucky Horseshoe,,,,,,
159,Shiny Red Balloon,,,,,,
160,Harpoon,,,,,,
161,Spiky Ball,,,,,,
162,Ball O' Hurt,,,,,,
163,Blue Moon,,,,,,
164,Handgun,,,,,,
165,Water Bolt,,,,,,
166,Bomb,,,,,,
167,Dynamite,,,,,,
168,Grenade,,,,,,
169,Sand Block,,,,,,
170,Glass,501,502,503,504,505,
171,Sign,1227,,,,,
172,Ash Block,,,,,,
173,Obsidian,,,,,,
174,Hellstone,,,,,,
175,Hellstone Bar,606,,,,,
176,Mud Block,,,,,,
177,Sapphire,,,,,,
178,Ruby,,,,,,
179,Emerald,,,,,,
180,Topaz,,,,,,
181,Amethyst,,,,,,
182,Diamond,,,,,,
183,Glowing Mushroom,529,,,,,
184,Star,,,,,,
185,Ivy Whip,677,,,,,
186,Breathing Reed,,,,,,
187,Flipper,,,,,,
188,Healing Potion,600,,,,,
189,Mana Potion,781,,,,,
190,Blade of Grass,82,,,,,
191,Thorn Chakram,1423,,,,,
192,Obsidian Brick,894,895,,,,
193,Obsidian Skull,902,,,,,
194,Mushroom Grass Seeds,,,,,,
195,Jungle Grass Seeds,,,,,,
196,Wooden Hammer,1553,,,,,
197,Star Cannon,1357,,,,,
198,Blue Phaseblade,99,,,,,
199,Red Phaseblade,1113,,,,,
200,Green Phaseblade,580,,,,,
201,Purple Phaseblade,1093,,,,,
202,White Phaseblade,1533,,,,,
203,Yellow Phaseblade,1567,,,,,
204,Meteor Hamaxe,797,,,,,
205,Empty Bucket,412,413,,,,
206,Water Bucket,,,,,,
207,Lava Bucket,,,,,,
208,Jungle Rose,,,,,,
209,Stinger,,,,,,
210,Vine,,,,,,
211,Feral Claws,,,,,,
212,Anklet of the Wind,,,,,,
213,Staff of Regrowth,,,,,,
214,Hellstone Brick,607,,,,,
215,Whoopie Cushion,,,,,,
216,Shackle,,,,,,
217,Molten Hamaxe,812,,,,,
218,Flamelash,,,,,,
219,Phoenix Blaster,1018,,,,,
220,Sunfury,,,,,,
221,Hellforge,,,,,,
222,Clay Pot,251,,,,,
223,Nature's Gift,,,,,,
224,Bed,65,,,,,
225,Silk,1228,,,,,
226,Lesser Restoration Potion,,,,,,
227,Restoration Potion,1123,,,,,
228,Jungle Hat,683,,,,,
229,Jungle Shirt,686,,,,,
230,Jungle Pants,685,,,,,
231,Molten Helmet,813,,,,,
232,Molten Breastplate,809,,,,,
233,Molten Greaves,811,,,,,
234,Meteor Shot,800,,,,,
235,Sticky Bomb,1390,,,,,
236,Black Lens,,,,,,
237,Sunglasses,1401,,,,,
238,Wizard Hat,,,,,,
239,Top Hat,,,,,,
240,Tuxedo Shirt,1500,,,,,
241,Tuxedo Pants,1499,,,,,
242,Summer Hat,,,,,,
243,Bunny Hood,,,,,,
244,Plumber's Hat,,,,,,
245,Plumber's Shirt,,,,,,
246,Plumber's Pants,,,,,,
247,Hero's Hat,610,,,,,
248,Hero's Shirt,612,,,,,
249,Hero's Pants,611,,,,,
250,Fish Bowl,429,,,,,
251,Archaeologist's Hat,,,,,,
252,Archaeologist's Jacket,43,,,,,
253,Archaeologist's Pants,44,,,,,
254,Black Thread,,,,,,
255,Green Thread,586,,,,,
256,Ninja Hood,,,,,,
257,Ninja Shirt,,,,,,
258,Ninja Pants,,,,,,
259,Leather,715,,,,,
260,Red Hat,,,,,,
261,Goldfish,,,,,,
262,Robe,1155,,,,,
263,Robot Hat,,,,,,
264,Gold Crown,545,,,,,
265,Hellfire Arrow,605,,,,,
266,Sandgun,1164,,,,,
267,Guide Voodoo Doll,,,,,,
268,Diving Helmet,,,,,,
269,Familiar Shirt,,,,,,
270,Familiar Pants,,,,,,
271,Familiar Wig,,,,,,
272,Demon Scythe,,,,,,
273,Night's Edge,891,892,,,,
274,Dark Lance,,,,,,
275,Coral,,,,,,
276,Cactus,183,,,,,
277,Trident,,,,,,
278,Silver Bullet,1236,,,,,
279,Throwing Knife,,,,,,
280,Spear,,,,,,
281,Blowpipe,,,,,,
282,Glowstick,,,,,,
283,Seed,,,,,,
284,Wooden Boomerang,,,,,,
285,Aglet,,,,,,
286,Sticky Glowstick,1392,,,,,
287,Poisoned Knife,1058,,,,,
288,Obsidian Skin Potion,901,,,,,
289,Regeneration Potion,1120,,,,,
290,Swiftness Potion,1408,,,,,
291,Gills Potion,500,,,,,
292,Ironskin Potion,675,676,,,,
293,Mana Regeneration Potion,783,,,,,
294,Magic Power Potion,775,,,,,
295,Featherfall Potion,425,,,,,
296,Spelunker Potion,1324,1325,,,,
297,Invisibility Potion,657,,,,,
298,Shine Potion,1219,,,,,
299,Night Owl Potion,890,,,,,
300,Battle Potion,63,64,,,,
301,Thorns Potion,1424,,,,,
302,Water Walking Potion,1527,,,,,
303,Archery Potion,45,,,,,
304,Hunter Potion,640,,,,,
305,Gravitation Potion,560,,,,,
306,Gold Chest,,,,,,
307,Daybloom Seeds,,,,,,
308,Moonglow Seeds,,,,,,
309,Blinkroot Seeds,,,,,,
310,Deathweed Seeds,,,,,,
311,Waterleaf Seeds,,,,,,
312,Fireblossom Seeds,,,,,,
313,Daybloom,,,,,,
314,Moonglow,,,,,,
315,Blinkroot,,,,,,
316,Deathweed,,,,,,
317,Waterleaf,,,,,,
318,Fireblossom,,,,,,
319,Shark Fin,,,,,,
320,Feather,,,,,,
321,Tombstone,,,,,,
322,Mime Mask,,,,,,
323,Antlion Mandible,,,,,,
324,Illegal Gun Parts,,,,,,
325,The Doctor's Shirt,,,,,,
326,The Doctor's Pants,,,,,,
327,Golden Key,,,,,,
328,Shadow Chest,,,,,,
329,Shadow Key,,,,,,
330,Obsidian Brick Wall,896,,,,,
331,Jungle Spores,,,,,,
332,Loom,766,,,,,
333,Piano,1019,,,,,
334,Dresser,352,,,,,
335,Bench,76,,,,,
336,Bathtub,61,62,,,,
337,Red Banner,1108,,,,,
338,Green Banner,570,,,,,
339,Blue Banner,89,,,,,
340,Yellow Banner,1563,,,,,
341,Lamp Post,688,689,,,,
342,Tiki Torch,1428,,,,,
343,Barrel,58,59,,,,
344,Chinese Lantern,232,,,,,
345,Cooking Pot,280,281,,,,
346,Safe,,,,,,
347,Skull Lantern,1247,,,,,
348,Trash Can,1476,1477,,,,
349,Candelabra,213,,,,,
350,Pink Vase,1036,,,,,
351,Mug,821,,,,,
352,Keg,687,,,,,
353,Ale,26,,,,,
354,Bookcase,123,,,,,
355,Throne,1425,1426,,,,
356,Bowl,162,,,,,
357,Bowl of Soup,163,,,,,
358,Toilet,1464,1465,,,,
359,Grandfather Clock,556,557,,,,
360,Armor Statue,49,,,,,
361,Goblin Battle Standard,531,,,,,
362,Tattered Cloth,,,,,,
363,Sawmill,1181,1182,,,,
364,Cobalt Ore,,,,,,
365,Mythril Ore,,,,,,
366,Adamantite Ore,,,,,,
367,Pwnhammer,,,,,,
368,Excalibur,417,,,,,
369,Hallowed Seeds,,,,,,
370,Ebonsand Block,,,,,,
371,Cobalt Hat,260,,,,,
372,Cobalt Helmet,261,,,,,
373,Cobalt Mask,263,,,,,
374,Cobalt Breastplate,254,,,,,
375,Cobalt Leggings,262,,,,,
376,Mythril Hood,867,,,,,
377,Mythril Helmet,866,,,,,
378,Mythril Hat,865,,,,,
379,Mythril Chainmail,860,,,,,
380,Mythril Greaves,863,,,,,
381,Cobalt Bar,253,,,,,
382,Mythril Bar,856,,,,,
383,Cobalt Chainsaw,258,,,,,
384,Mythril Chainsaw,861,,,,,
385,Cobalt Drill,259,,,,,
386,Mythril Drill,862,,,,,
387,Adamantite Chainsaw,14,,,,,
388,Adamantite Drill,15,,,,,
389,Dao of Pow,319,,,,,
390,Mythril Halberd,864,,,,,
391,Adamantite Bar,9,,,,,
392,Glass Wall,527,,,,,
393,Compass,,,,,,
394,Diving Gear,350,,,,,
395,GPS,554,555,,,,
396,Obsidian Horseshoe,899,,,,,
397,Obsidian Shield,900,,,,,
398,Tinkerer's Workshop,,,,,,
399,Cloud in a Balloon,252,,,,,
400,Adamantite Headgear,17,,,,,
401,Adamantite Helmet,18,,,,,
402,Adamantite Mask,20,,,,,
403,Adamantite Breastplate,13,,,,,
404,Adamantite Leggings,19,,,,,
405,Spectre Boots,1312,1313,1314,,,
406,Adamantite Glaive,16,,,,,
407,Toolbelt,,,,,,
408,Pearlsand Block,,,,,,
409,Pearlstone Block,,,,,,
410,Mining Shirt,,,,,,
411,Mining Pants,,,,,,
412,Pearlstone Brick,982,983,,,,
413,Iridescent Brick,658,659,,,,
414,Mudstone Brick,818,819,,,,
415,Cobalt Brick,255,256,,,,
416,Mythril Brick,857,858,,,,
417,Pearlstone Brick Wall,984,,,,,
418,Iridescent Brick Wall,660,,,,,
419,Mudstone Brick Wall,820,,,,,
420,Cobalt Brick Wall,257,,,,,
421,Mythril Brick Wall,859,,,,,
422,Holy Water,615,,,,,
423,Unholy Water,1503,,,,,
424,Silt Block,,,,,,
425,Fairy Bell,421,,,,,
426,Breaker Blade,,,,,,
427,Blue Torch,102,,,,,
428,Red Torch,1119,,,,,
429,Green Torch,587,,,,,
430,Purple Torch,1096,,,,,
431,White Torch,1536,,,,,
432,Yellow Torch,1573,,,,,
433,Demon Torch,,,,,,
434,Clockwork Assault Rifle,,,,,,
435,Cobalt Repeater,266,,,,,
436,Mythril Repeater,869,,,,,
437,Dual Hook,,,,,,
438,Star Statue,,,,,,
439,Sword Statue,,,,,,
440,Slime Statue,,,,,,
441,Goblin Statue,,,,,,
442,Shield Statue,,,,,,
443,Bat Statue,,,,,,
444,Fish Statue,,,,,,
445,Bunny Statue,,,,,,
446,Skeleton Statue,,,,,,
447,Reaper Statue,,,,,,
448,Woman Statue,,,,,,
449,Imp Statue,,,,,,
450,Gargoyle Statue,,,,,,
451,Gloom Statue,,,,,,
452,Hornet Statue,,,,,,
453,Bomb Statue,,,,,,
454,Crab Statue,,,,,,
455,Hammer Statue,,,,,,
456,Potion Statue,,,,,,
457,Spear Statue,,,,,,
458,Cross Statue,,,,,,
459,Jellyfish Statue,,,,,,
460,Bow Statue,,,,,,
461,Boomerang Statue,,,,,,
462,Boot Statue,,,,,,
463,Chest Statue,,,,,,
464,Bird Statue,,,,,,
465,Axe Statue,,,,,,
466,Corrupt Statue,,,,,,
467,Tree Statue,,,,,,
468,Anvil Statue,,,,,,
469,Pickaxe Statue,,,,,,
470,Mushroom Statue,,,,,,
471,Eyeball Statue,,,,,,
472,Pillar Statue,,,,,,
473,Heart Statue,,,,,,
474,Pot Statue,,,,,,
475,Sunflower Statue,,,,,,
476,King Statue,,,,,,
477,Queen Statue,,,,,,
478,Piranha Statue,,,,,,
479,Planked Wall,1037,,,,,
480,Wooden Beam,1548,,,,,
481,Adamantite Repeater,22,,,,,
482,Adamantite Sword,23,,,,,
483,Cobalt Sword,267,,,,,
484,Mythril Sword,870,,,,,
485,Moon Charm,,,,,,
486,Ruler,,,,,,
487,Crystal Ball,,,,,,
488,Disco Ball,,,,,,
489,Sorcerer Emblem,,,,,,
490,Warrior Emblem,,,,,,
491,Ranger Emblem,,,,,,
492,Demon Wings,335,,,,,
493,Angel Wings,40,,,,,
494,Magical Harp,777,,,,,
495,Rainbow Rod,1103,,,,,
496,Ice Rod,,,,,,
497,Neptune's Shell,889,,,,,
498,Mannequin,784,,,,,
499,Greater Healing Potion,567,,,,,
500,Greater Mana Potion,,,,,,
501,Pixie Dust,,,,,,
502,Crystal Shard,,,,,,
503,Clown Hat,,,,,,
504,Clown Shirt,,,,,,
505,Clown Pants,,,,,,
506,Flamethrower,437,,,,,
507,Bell,,,,,,
508,Harp,,,,,,
509,Red Wrench,,,,,,
510,Wire Cutter,,,,,,
511,Active Stone Block,8,,,,,
512,Inactive Stone Block,649,,,,,
513,Lever,,,,,,
514,Laser Rifle,,,,,,
515,Crystal Bullet,308,,,,,
516,Holy Arrow,614,,,,,
517,Magic Dagger,,,,,,
518,Crystal Storm,309,,,,,
519,Cursed Flames,312,,,,,
520,Soul of Light,,,,,,
521,Soul of Night,,,,,,
522,Cursed Flame,,,,,,
523,Cursed Torch,313,,,,,
524,Adamantite Forge,25,,,,,
525,Mythril Anvil,872,,,,,
526,Unicorn Horn,,,,,,
527,Dark Shard,,,,,,
528,Light Shard,,,,,,
529,Red Pressure Plate,,,,,,
530,Wire,,,,,,
531,Spell Tome,,,,,,
532,Star Cloak,,,,,,
533,Megashark,796,,,,,
534,Shotgun,,,,,,
535,Philosopher's Stone,,,,,,
536,Titan Glove,,,,,,
537,Cobalt Naginata,264,,,,,
538,Switch,,,,,,
539,Dart Trap,,,,,,
540,Boulder,157,,,,,
541,Green Pressure Plate,,,,,,
542,Gray Pressure Plate,,,,,,
543,Brown Pressure Plate,,,,,,
544,Mechanical Eye,787,788,,,,
545,Cursed Arrow,310,,,,,
546,Cursed Bullet,311,,,,,
547,Soul of Fright,,,,,,
548,Soul of Might,,,,,,
549,Soul of Sight,,,,,,
550,Gungnir,588,,,,,
551,Hallowed Plate Mail,594,,,,,
552,Hallowed Greaves,589,,,,,
553,Hallowed Helmet,591,,,,,
554,Cross Necklace,,,,,,
555,Mana Flower,780,,,,,
556,Mechanical Worm,792,793,794,,,
557,Mechanical Skull,790,791,,,,
558,Hallowed Headgear,590,,,,,
559,Hallowed Mask,593,,,,,
560,Slime Crown,1280,1281,,,,
561,Light Disc,718,,,,,
562,Music Box (Overworld Day),851,,,,,
563,Music Box (Eerie),848,,,,,
564,Music Box (Night),850,,,,,
565,Music Box (Title),,,,,,
566,Music Box (Underground),855,,,,,
567,Music Box (Boss 1),844,,,,,
568,Music Box (Jungle),849,,,,,
569,Music Box (Corruption),847,,,,,
570,Music Box (Underground Corruption),853,,,,,
571,Music Box (The Hallow),852,,,,,
572,Music Box (Boss 2),845,,,,,
573,Music Box (Underground Hallow),854,,,,,
574,Music Box (Boss 3),846,,,,,
575,Soul of Flight,,,,,,
576,Music Box,,,,,,
577,Demonite Brick,337,338,,,,
578,Hallowed Repeater,595,,,,,
579,Drax,351,,,,,
580,Explosives,420,,,,,
581,Inlet Pump,651,652,,,,
582,Outlet Pump,929,930,,,,
583,1 Second Timer,1,2,,,,
584,3 Second Timer,3,4,,,,
585,5 Second Timer,5,6,,,,
586,Candy Cane Block,215,,,,,
587,Candy Cane Wall,216,,,,,
588,Santa Hat,,,,,,
589,Santa Shirt,,,,,,
590,Santa Pants,,,,,,
591,Green Candy Cane Block,571,,,,,
592,Green Candy Cane Wall,572,,,,,
593,Snow Block,,,,,,
594,Snow Brick,1293,1294,,,,
595,Snow Brick Wall,1295,,,,,
596,Blue Light,,,,,,
597,Red Light,,,,,,
598,Green Light,,,,,,
599,Blue Present,,,,,,
600,Green Present,,,,,,
601,Yellow Present,,,,,,
602,Snow Globe,,,,,,
603,Carrot,,,,,,
604,Adamantite Beam,10,11,,,,
605,Adamantite Beam Wall,12,,,,,
606,Demonite Brick Wall,339,,,,,
607,Sandstone Brick,1165,1166,,,,
608,Sandstone Brick Wall,1167,,,,,
609,Ebonstone Brick,371,372,,,,
610,Ebonstone Brick Wall,373,,,,,
611,Red Stucco,1116,1117,,,,
612,Yellow Stucco,1570,1571,,,,
613,Green Stucco,583,584,,,,
614,Gray Stucco,564,565,,,,
615,Red Stucco Wall,1118,,,,,
616,Yellow Stucco Wall,1572,,,,,
617,Green Stucco Wall,585,,,,,
618,Gray Stucco Wall,566,,,,,
619,Ebonwood,374,375,,,,
620,Rich Mahogany,1124,1125,,,,
621,Pearlwood,985,986,,,,
622,Ebonwood Wall,403,,,,,
623,Rich Mahogany Wall,1153,,,,,
624,Pearlwood Wall,1014,,,,,
625,Ebonwood Chest,386,387,,,,
626,Rich Mahogany Chest,1136,1137,,,,
627,Pearlwood Chest,997,998,,,,
628,Ebonwood Chair,384,,,,,
629,Rich Mahogany Chair,1134,,,,,
630,Pearlwood Chair,995,,,,,
631,Ebonwood Platform,399,,,,,
632,Rich Mahogany Platform,1149,,,,,
633,Pearlwood Platform,1010,,,,,
634,Bone Platform,,,,,,
635,Ebonwood Work Bench,404,,,,,
636,Rich Mahogany Work Bench,1154,,,,,
637,Pearlwood Work Bench,1015,,,,,
638,Ebonwood Table,402,,,,,
639,Rich Mahogany Table,1152,,,,,
640,Pearlwood Table,1013,,,,,
641,Ebonwood Piano,398,,,,,
642,Rich Mahogany Piano,1148,,,,,
643,Pearlwood Piano,1009,,,,,
644,Ebonwood Bed,378,,,,,
645,Rich Mahogany Bed,1128,,,,,
646,Pearlwood Bed,989,,,,,
647,Ebonwood Dresser,391,,,,,
648,Rich Mahogany Dresser,1141,,,,,
649,Pearlwood Dresser,1002,,,,,
650,Ebonwood Door,390,,,,,
651,Rich Mahogany Door,1140,,,,,
652,Pearlwood Door,1001,,,,,
653,Ebonwood Sword,401,,,,,
654,Ebonwood Hammer,394,,,,,
655,Ebonwood Bow,380,,,,,
656,Rich Mahogany Sword,1151,,,,,
657,Rich Mahogany Hammer,1144,,,,,
658,Rich Mahogany Bow,1130,,,,,
659,Pearlwood Sword,1012,,,,,
660,Pearlwood Hammer,1005,,,,,
661,Pearlwood Bow,991,,,,,
662,Rainbow Brick,1100,,,,,
663,Rainbow Brick Wall,1101,,,,,
664,Ice Block,,,,,,
665,Red's Wings,,,,,,
666,Red's Helmet,,,,,,
667,Red's Breastplate,,,,,,
668,Red's Leggings,,,,,,
670,Ice Boomerang,,,,,,
671,Keybrand,,,,,,
672,Cutlass,,,,,,
673,Boreal Wood Work Bench,154,,,,,
674,True Excalibur,1479,,,,,
675,True Night's Edge,1480,,,,,
676,Frostbrand,,,,,,
677,Boreal Wood Table,152,,,,,
678,Red Potion,,,,,,
679,Tactical Shotgun,,,,,,
680,Ivy Chest,,,,,,
681,Ice Chest,,,,,,
682,Marrow,,,,,,
683,Unholy Trident,,,,,,
684,Frost Helmet,474,,,,,
685,Frost Breastplate,473,,,,,
686,Frost Leggings,475,,,,,
687,Tin Helmet,1440,,,,,
688,Tin Chainmail,1436,,,,,
689,Tin Greaves,1438,,,,,
690,Lead Helmet,712,,,,,
691,Lead Chainmail,707,,,,,
692,Lead Greaves,710,,,,,
693,Tungsten Helmet,1492,,,,,
694,Tungsten Chainmail,1488,,,,,
695,Tungsten Greaves,1490,,,,,
696,Platinum Helmet,1053,,,,,
697,Platinum Chainmail,1047,,,,,
698,Platinum Greaves,1051,,,,,
699,Tin Ore,,,,,,
700,Lead Ore,,,,,,
701,Tungsten Ore,,,,,,
702,Platinum Ore,,,,,,
703,Tin Bar,1430,,,,,
704,Lead Bar,703,704,,,,
705,Tungsten Bar,1482,,,,,
706,Platinum Bar,1039,,,,,
707,Tin Watch,1445,,,,,
708,Tungsten Watch,1495,,,,,
709,Platinum Watch,1056,,,,,
710,Tin Chandelier,1437,,,,,
711,Tungsten Chandelier,1489,,,,,
712,Platinum Chandelier,1048,,,,,
713,Platinum Candle,1046,,,,,
714,Platinum Candelabra,1045,,,,,
715,Platinum Crown,1050,,,,,
716,Lead Anvil,701,,,,,
717,Tin Brick,1432,1433,,,,
718,Tungsten Brick,1484,1485,,,,
719,Platinum Brick,1041,1042,,,,
720,Tin Brick Wall,1434,,,,,
721,Tungsten Brick Wall,1486,,,,,
722,Platinum Brick Wall,1043,,,,,
723,Beam Sword,,,,,,
724,Ice Blade,,,,,,
725,Ice Bow,,,,,,
726,Frost Staff,,,,,,
727,Wood Helmet,1544,,,,,
728,Wood Breastplate,1541,,,,,
729,Wood Greaves,1543,,,,,
730,Ebonwood Helmet,395,,,,,
731,Ebonwood Breastplate,381,,,,,
732,Ebonwood Greaves,393,,,,,
733,Rich Mahogany Helmet,1145,,,,,
734,Rich Mahogany Breastplate,1131,,,,,
735,Rich Mahogany Greaves,1143,,,,,
736,Pearlwood Helmet,1006,,,,,
737,Pearlwood Breastplate,992,,,,,
738,Pearlwood Greaves,1004,,,,,
739,Amethyst Staff,38,,,,,
740,Topaz Staff,1472,,,,,
741,Sapphire Staff,1176,,,,,
742,Emerald Staff,411,,,,,
743,Ruby Staff,1163,,,,,
744,Diamond Staff,347,,,,,
745,Grass Wall,,,,,,
746,Jungle Wall,,,,,,
747,Flower Wall,,,,,,
748,Jetpack,,,,,,
749,Butterfly Wings,182,,,,,
750,Cactus Wall,209,,,,,
751,Cloud,,,,,,
752,Cloud Wall,,,,,,
753,Seaweed,,,,,,
754,Rune Hat,,,,,,
755,Rune Robe,,,,,,
756,Mushroom Spear,,,,,,
757,Terra Blade,1417,,,,,
758,Grenade Launcher,,,,,,
759,Rocket Launcher,,,,,,
760,Proximity Mine Launcher,,,,,,
761,Fairy Wings,422,,,,,
762,Slime Block,1268,1269,,,,
763,Flesh Block,449,450,,,,
764,Mushroom Wall,842,,,,,
765,Rain Cloud,,,,,,
766,Bone Block,,,,,,
767,Frozen Slime Block,492,,,,,
768,Bone Block Wall,106,,,,,
769,Slime Block Wall,1270,,,,,
770,Flesh Block Wall,451,,,,,
771,Rocket I,,,,,,
772,Rocket II,,,,,,
773,Rocket III,,,,,,
774,Rocket IV,,,,,,
775,Asphalt Block,50,,,,,
776,Cobalt Pickaxe,265,,,,,
777,Mythril Pickaxe,868,,,,,
778,Adamantite Pickaxe,21,,,,,
779,Clentaminator,,,,,,
780,Green Solution,,,,,,
781,Blue Solution,,,,,,
782,Purple Solution,,,,,,
783,Dark Blue Solution,,,,,,
784,Red Solution,,,,,,
785,Harpy Wings,597,,,,,
786,Bone Wings,121,,,,,
787,Hammush,,,,,,
788,Nettle Burst,,,,,,
789,Ankh Banner,,,,,,
790,Snake Banner,,,,,,
791,Omega Banner,,,,,,
792,Crimson Helmet,304,,,,,
793,Crimson Scalemail,306,,,,,
794,Crimson Greaves,303,,,,,
795,Blood Butcherer,84,,,,,
796,Tendon Bow,1416,,,,,
797,Flesh Grinder,463,,,,,
798,Deathbringer Pickaxe,321,,,,,
799,Blood Lust Cluster,85,,,,,
800,The Undertaker,,,,,,
801,The Meatball,1421,,,,,
802,The Rotted Fork,,,,,,
803,Eskimo Hood,,,,,,
804,Eskimo Coat,,,,,,
805,Eskimo Pants,,,,,,
806,Living Wood Chair,753,,,,,
807,Cactus Chair,191,,,,,
808,Bone Chair,109,,,,,
809,Flesh Chair,455,,,,,
810,Mushroom Chair,829,,,,,
811,Bone Work Bench,122,,,,,
812,Cactus Work Bench,210,,,,,
813,Flesh Work Bench,469,,,,,
814,Mushroom Work Bench,843,,,,,
815,Slime Work Bench,1290,,,,,
816,Cactus Door,197,,,,,
817,Flesh Door,461,,,,,
818,Mushroom Door,835,,,,,
819,Living Wood Door,757,,,,,
