id,name,effect,duration
49,Pygmies,Summons a pygmy to fight for you,
115,Rage,Increases critical strike chance by 10%.,4
58,Rapid Healing,Gives improved life regeneration,
83,Ravens,Summons a raven to fight for you,
2,Regeneration,Player's life regeneration speed is increased.,5
90,Rudolph,Mount,
143,Scutlix,Mount,
59,Shadow Dodge,"Allows the player to dodge the next incoming attack. Two clones of the player will appear, mimicking the player's movements.",
19,Shadow Orb,Light Pet,
153,Shadowflame,Deals 5 damage per second to the target.,
139,Sharknado,Summons sharknados to fight for you,
159,Sharpened,Right clicking on a placed Sharpening Station increases melee weapons armor penetration by 4,10
11,Shine,Makes the player shine to see properly.,5
35,Silenced,Prevents the player from using anything that requires mana.,
137,Slime,Player drips blue goo and gains a blue tint.,
130,Slime Mount,Mount,
32,Slow,Slows down the player's speed.,
170,Solar Blaze,"Solar shields generate over time protecting you, consume the shield power to dash, damaging enemies",
171,Solar Blaze,"Solar shields generate over time protecting you, consume the shield power to dash, damaging enemies",
172,Solar Blaze,"Solar shields generate over time protecting you, consume the shield power to dash, damaging enemies",
122,Sonar,See the name of your catch while fishing,4
9,Spelunker,Allows the player to see ores and chests more clearly.,5
133,Spider,Summons an spider to fight for you,
82,Squashling,Pet,
158,Star in a Bottle,Gives improved mana regeneration to nearby players.,
182,Stardust Cell,Summons a stardust cell to fight for you 'Cultivate the most beautiful cellular infection',
188,Stardust Dragon,Summons a stardust dragon to fight for you.,
187,Stardust Guardian,Summons a stardust guardian to fight for you,
120,Stinky,Green fumes appear around you (cosmetic),
156,Stoned,Prevents the player from moving or using anything and damages the player.,
198,Striking Moment,Melee damage increased after blocking an enemy's attack,
68,Suffocation,"Players lose life over time while buried in Sand, Slush, or Silt.",
192,Sugar Rush,Not obtainable.,
110,Summoning,+1 Minion capacity,6
190,Suspicious Looking Eye,Light Pet,
3,Swiftness,Increases the players speed by 25%.,4
38,The Tongue,"Pulls the player, through tiles, directly in front of the Wall of Flesh",
14,Thorns,Melee attackers take a small amount of damage upon harming the player.,2
52,Tiki Spirit,Pet,
25,Tipsy,"Inflicts -4 defense, grants +2% critical hit on melee attacks, +10% melee attack speed and damage.",2 or 4
108,Titan,Increases knockback of all weapons,4
131,Turtle Mount,Mount,
134,Twins,Summons twins to fight for you,
140,UFO,Summons a UFO to fight for you,
141,UFO,Summons a UFO to fight for you,
162,Unicorn Mount,Mount,
70,Venom,"Players turn purple, lose life over time, and cannot regenerate life.",
124,Warmth,Reduces damage from cold themed enemies.,25
86,Water Candle,Whenever a player stands near a Water Candle that is placed (not in hand).,
15,Water Walking,"Allows the player to walk on water, honey and lava. DOWN key allows the player to fall in liquids.",5
33,Weak,Causes the player's Physical abilities to decrease. Werewolf buffnegates this debuff.,
78,Weapon Imbue Confetti,Melee attacks cause bursts of confetti,20
73,Weapon Imbue Cursed Flames,Melee attacks inflict Cursed Inferno debuff on enemies,20
74,Weapon Imbue Fire,Melee attacks inflict On Fire! debuff on enemies,20
75,Weapon Imbue Gold,Melee attacks inflict Midas debuff on enemies,20
76,Weapon Imbue Ichor,Melee attacks inflict Ichor debuff on enemies,20
77,Weapon Imbue Nanites,Melee attacks inflict Confused on enemies,20
79,Weapon Imbue Poison,Melee attacks inflict Poisoned on enemies,20
71,Weapon Imbue Venom,Melee attacks inflict Venom debuff on enemies,20
149,Webbed,Causes the player to be stuck in the spot where they were hit. Players are still allowed to use items while this effect is ongoing.,
26,Well Fed,"Consuming food items gives the player a few improvements such as damage, defense, swing rate, etc.",10-45
28,Werewolf,"Gives improvements to physical abilities, as well as giving the player a cosmetic werewolf skin.",
103,Wet,Player drips water.,
57,Wisp,Light Pet,
195,Withered Armor,Causes the player's defense to go down to half of its normal defense.,
196,Withered Weapon,Reduces all player-inflicted damage by 50%.,
117,Wrath,Increases weapon damage by 10%.,4
127,Zephyr Fish,Pet,
